#,Date,Transact. No,Buyer,Seller,Qty,Rate,Amount
179,2021/02/11,2021021103011583,51,41,10,161.0,1610.0
181,2021/02/11,2021021103008207,45,45,10,162.0,1620.0
183,2021/02/11,2021021103003443,3,35,50,160.0,8000.0
185,2021/02/11,2021021103003413,19,35,988,163.0,161044.0
187,2021/02/11,2021021103002038,36,3,1000,166.0,166000.0
189,2021/02/11,2021021103001786,45,42,500,168.0,84000.0
191,2021/02/11,2021021103000614,4,49,50,164.0,8200.0
193,2021/02/10,2021021003021337,29,56,50,163.0,8150.0
195,2021/02/10,2021021003020536,10,35,325,163.0,52975.0
197,2021/02/10,2021021003019160,58,52,14,164.0,2296.0
199,2021/02/10,2021021003015897,58,55,10,164.0,1640.0
101,2021/02/10,2021021003014489,38,39,20,162.0,3240.0
103,2021/02/10,2021021003014204,37,14,90,163.0,14670.0
105,2021/02/10,2021021003010178,58,11,10,162.0,1620.0
107,2021/02/10,2021021003009323,21,32,50,162.0,8100.0
109,2021/02/10,2021021003009288,34,52,100,163.0,16300.0
111,2021/02/10,2021021003008623,54,55,100,164.0,16400.0
113,2021/02/10,2021021003007174,10,42,50,166.0,8300.0
115,2021/02/10,2021021003006430,58,45,500,165.0,82500.0
117,2021/02/10,2021021003006389,58,38,2000,165.0,330000.0
119,2021/02/10,2021021003002625,7,49,500,163.0,81500.0
121,2021/02/10,2021021003000348,56,14,40,162.0,6480.0
123,2021/02/09,2021020903028621,50,16,500,163.0,81500.0
125,2021/02/09,2021020903028617,48,16,362,164.0,59368.0
127,2021/02/09,2021020903027724,7,33,80,166.0,13280.0
129,2021/02/09,2021020903027232,16,1,300,166.0,49800.0
131,2021/02/09,2021020903027204,39,14,300,165.0,49500.0
133,2021/02/09,2021020903026056,48,39,628,164.0,102992.0
135,2021/02/09,2021020903023437,50,41,400,163.0,65200.0
137,2021/02/09,2021020903021673,38,42,20,162.0,3240.0
139,2021/02/09,2021020903021284,4,41,30,163.0,4890.0
141,2021/02/09,2021020903019430,47,40,800,163.0,130400.0
143,2021/02/09,2021020903018953,36,49,20,164.0,3280.0
145,2021/02/09,2021020903017905,36,22,1000,164.0,164000.0
147,2021/02/09,2021020903017901,36,1,100,164.0,16400.0
149,2021/02/09,2021020903017128,50,3,70,163.0,11410.0
151,2021/02/10,2021021003014242,37,58,100,163.0,16300.0
153,2021/02/10,2021021003011724,41,14,200,163.0,32600.0
155,2021/02/10,2021021003009356,40,52,100,162.0,16200.0
157,2021/02/10,2021021003009290,14,52,20,163.0,3260.0
159,2021/02/10,2021021003009272,1,55,20,164.0,3280.0
161,2021/02/10,2021021003007302,10,47,175,166.0,29050.0
163,2021/02/10,2021021003007172,10,38,20,166.0,3320.0
165,2021/02/10,2021021003006428,58,19,1000,165.0,165000.0
167,2021/02/10,2021021003006231,11,17,100,164.0,16400.0
169,2021/02/10,2021021003000582,34,17,10,162.0,1620.0
171,2021/02/09,2021020903028623,6,16,200,163.0,32600.0
173,2021/02/09,2021020903028619,29,16,150,164.0,24600.0
175,2021/02/09,2021020903028219,42,10,10,165.0,1650.0
177,2021/02/09,2021020903027722,7,36,835,166.0,138610.0
179,2021/02/09,2021020903027230,16,34,45,165.0,7425.0
181,2021/02/09,2021020903026756,22,14,200,165.0,33000.0
183,2021/02/09,2021020903025300,38,39,300,164.0,49200.0
185,2021/02/09,2021020903021741,29,39,100,164.0,16400.0
187,2021/02/09,2021020903021595,42,39,10,164.0,1640.0
189,2021/02/09,2021020903021282,47,41,230,163.0,37490.0
191,2021/02/09,2021020903019266,36,39,244,164.0,40016.0
193,2021/02/09,2021020903018132,36,13,475,164.0,77900.0
195,2021/02/09,2021020903017903,36,14,547,164.0,89708.0
197,2021/02/09,2021020903017846,47,45,470,163.0,76610.0
199,2021/02/09,2021020903016547,57,25,70,164.0,11480.0
201,2021/02/10,2021021003014953,38,38,80,162.0,12960.0
203,2021/02/10,2021021003014205,37,34,10,163.0,1630.0
205,2021/02/10,2021021003011614,58,14,100,163.0,16300.0
207,2021/02/10,2021021003009355,21,52,10,162.0,1620.0
209,2021/02/10,2021021003009289,48,52,125,163.0,20375.0
211,2021/02/10,2021021003008624,29,55,200,164.0,32800.0
213,2021/02/10,2021021003007175,10,47,810,166.0,134460.0
215,2021/02/10,2021021003007171,10,22,20,166.0,3320.0
217,2021/02/10,2021021003006427,58,38,800,165.0,132000.0
219,2021/02/10,2021021003006025,58,40,165,163.0,26895.0
221,2021/02/10,2021021003000555,45,14,10,160.0,1600.0
223,2021/02/09,2021020903028622,26,16,100,163.0,16300.0
225,2021/02/09,2021020903028618,26,16,50,164.0,8200.0
227,2021/02/09,2021020903027725,7,40,35,166.0,5810.0
229,2021/02/09,2021020903027233,16,36,165,166.0,27390.0
231,2021/02/09,2021020903027229,16,14,440,165.0,72600.0
233,2021/02/09,2021020903026057,48,40,500,164.0,82000.0
235,2021/02/09,2021020903023438,50,22,100,163.0,16300.0
237,2021/02/09,2021020903021674,56,42,10,162.0,1620.0
239,2021/02/09,2021020903021285,40,41,300,163.0,48900.0
241,2021/02/09,2021020903020276,47,45,500,163.0,81500.0
243,2021/02/09,2021020903019081,36,56,20,164.0,3280.0
